Fp1 Fpz Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 M1 T7 C3 Cz C4 T8 M2 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 POz O1 Oz O2 HEOG VEOG MKR+
-1495.410 21.875 3063.086 -367.383 1314.258 1665.039 2691.016 2847.949 -167.871 -741.602 -92.969 -1607.813 0.000 2024.316 -3001.758 -599.609 -2836.035 1769.434 0.000 -567.383 1904.297 -2833.398 1479.980 2898.438 -2930.371 2675.098 903.027 -513.672 -1431.445 1061.328 -1770.117 1038.086 0.000 0.000 -50.000
-1500.488 17.480 3060.742 -368.652 1312.109 1659.375 2688.770 2848.242 -168.555 -746.680 -97.363 -1608.105 0.000 2027.539 -3002.734 -602.539 -2833.594 1784.863 0.000 -560.059 1908.594 -2829.590 1489.551 2889.551 -2923.828 2678.125 911.621 -541.309 -1423.145 1069.629 -1767.090 1028.223 0.000 0.000 -50.000
-1509.668 9.473 3057.813 -369.141 1307.324 1648.145 2685.059 2849.512 -167.871 -752.148 -104.199 -1606.543 0.000 2033.887 -3004.297 -609.375 -2830.957 1804.688 0.000 -553.711 1907.324 -2830.273 1496.582 2911.816 -2917.676 2681.836 920.703 -606.738 -1413.672 1087.598 -1755.176 1030.371 0.000 0.000 -50.000
-1517.480 -1.758 3053.809 -369.141 1301.563 1637.793 2682.520 2850.488 -167.773 -762.012 -109.961 -1605.762 0.000 2041.504 -3006.250 -616.113 -2838.574 1833.789 0.000 -552.051 1900.195 -2838.574 1499.219 2916.699 -2917.090 2679.297 926.270 -635.352 -1408.887 1107.910 -1731.250 1047.168 0.000 0.000 -50.000
-1524.609 -9.961 3045.898 -371.777 1295.508 1626.367 2676.172 2846.680 -171.289 -770.508 -116.309 -1607.813 0.000 2042.480 -3009.961 -624.902 -2843.262 1866.699 0.000 -553.516 1891.895 -2845.605 1498.242 2928.711 -2918.652 2674.512 926.465 -598.438 -1408.984 1120.898 -1715.039 1050.000 0.000 0.000 -50.000
-1530.469 -15.918 3040.039 -378.125 1288.770 1620.313 2669.824 2841.504 -177.539 -776.660 -123.047 -1614.160 0.000 2036.426 -3016.602 -633.008 -2846.680 1903.125 0.000 -554.492 1889.355 -2849.414 1495.996 2965.039 -2922.852 2669.629 921.875 -568.555 -1414.746 1119.922 -1695.117 1055.566 0.000 0.000 -50.000
-1531.250 -17.285 3038.574 -383.398 1288.086 1620.410 2665.723 2836.621 -181.543 -777.246 -125.391 -1618.359 0.000 2028.516 -3019.336 -634.180 -2849.805 1940.332 0.000 -559.961 1887.305 -2850.000 1489.844 3002.051 -2927.148 2666.992 915.918 -570.801 -1420.508 1111.816 -1682.422 1056.836 0.000 0.000 -50.000
-1521.289 -5.762 3045.605 -378.809 1295.020 1633.398 2671.777 2839.258 -178.516 -767.090 -116.699 -1616.309 0.000 2026.172 -3014.453 -625.781 -2846.680 1974.121 0.000 -562.500 1891.504 -2846.289 1485.449 3012.402 -2928.320 2669.336 912.695 -697.461 -1423.438 1098.047 -1673.730 1048.535 0.000 0.000 -50.000
-1506.152 10.059 3058.008 -371.582 1308.301 1650.879 2682.617 2845.410 -171.875 -751.953 -104.395 -1613.672 0.000 2024.121 -3007.422 -613.965 -2843.066 1999.316 0.000 -566.211 1896.777 -2843.750 1479.102 2980.957 -2929.492 2671.387 905.859 -780.664 -1427.832 1075.684 -1684.668 1028.418 0.000 0.000 -50.000
-1496.973 21.289 3066.309 -365.918 1316.016 1662.207 2689.746 2848.828 -168.262 -740.918 -95.801 -1607.813 0.000 2022.266 -3000.488 -604.590 -2839.648 2019.727 0.000 -566.992 1901.563 -2838.965 1476.270 2939.746 -2930.078 2671.973 901.563 -803.320 -1430.078 1053.125 -1698.828 998.340 0.000 0.000 -50.000
-1497.168 22.461 3065.625 -367.090 1317.285 1665.039 2689.160 2847.949 -167.676 -741.406 -96.387 -1610.449 0.000 2021.289 -3001.367 -603.809 -2836.035 2039.941 0.000 -563.379 1905.566 -2836.328 1478.613 2929.395 -2928.906 2675.195 903.711 -788.086 -1429.785 1044.824 -1712.500 974.902 0.000 0.000 -50.000
-1499.414 18.750 3064.453 -366.406 1315.918 1659.082 2688.281 2847.559 -169.238 -744.531 -99.121 -1608.301 0.000 2023.340 -3001.563 -607.520 -2833.496 2062.793 0.000 -558.398 1907.227 -2835.547 1485.254 2947.852 -2924.902 2677.539 909.375 -821.191 -1423.438 1047.363 -1718.848 957.520 0.000 0.000 -50.000
-1504.883 11.328 3062.012 -365.723 1311.914 1652.246 2686.914 2850.977 -166.504 -749.707 -103.027 -1606.543 0.000 2028.711 -3001.172 -612.012 -2836.230 2086.035 0.000 -553.418 1900.684 -2841.211 1489.355 2961.523 -2921.777 2679.102 916.992 -862.598 -1418.066 1060.840 -1712.598 956.738 0.000 0.000 -50.000
-1511.719 3.223 3057.715 -364.355 1307.910 1641.211 2682.910 2853.125 -163.672 -757.227 -108.398 -1602.832 0.000 2038.477 -3002.441 -618.359 -2838.965 2098.047 0.000 -550.684 1896.973 -2847.656 1495.996 2953.418 -2919.531 2677.832 924.707 -881.836 -1411.133 1079.980 -1700.781 968.262 0.000 0.000 -50.000
-1523.535 -7.324 3049.805 -370.410 1298.926 1627.734 2674.805 2849.219 -169.141 -767.676 -119.922 -1607.617 0.000 2038.379 -3009.473 -628.613 -2844.531 2095.898 0.000 -550.879 1891.211 -2853.516 1497.363 2963.379 -2920.313 2672.754 924.707 -784.863 -1410.742 1091.113 -1688.965 982.617 0.000 0.000 -50.000
-1530.957 -14.648 3044.434 -374.512 1293.848 1620.020 2669.141 2845.508 -175.098 -772.852 -124.023 -1611.426 0.000 2033.398 -3013.867 -635.156 -2845.020 2075.195 0.000 -552.051 1888.281 -2857.715 1498.047 2982.227 -2922.852 2671.680 921.582 -734.570 -1410.742 1094.824 -1662.891 1000.781 0.000 0.000 -50.000
-1527.832 -12.793 3046.094 -374.707 1295.703 1623.828 2670.703 2844.531 -175.098 -770.996 -122.461 -1613.281 0.000 2028.613 -3013.086 -634.180 -2843.848 2031.543 0.000 -552.246 1890.430 -2855.957 1495.605 3004.980 -2923.730 2671.191 920.605 -750.781 -1412.305 1088.379 -1647.168 1018.652 0.000 0.000 -50.000
-1517.773 -2.246 3053.223 -370.215 1303.027 1634.961 2675.586 2846.973 -170.508 -762.402 -116.602 -1610.156 0.000 2026.660 -3008.887 -625.781 -2843.164 1969.727 0.000 -556.348 1893.164 -2854.785 1488.770 2986.328 -2925.293 2671.680 916.113 -751.172 -1417.383 1074.902 -1636.914 1028.809 0.000 0.000 -50.000
-1508.691 8.301 3059.766 -368.555 1311.035 1647.363 2679.688 2846.777 -169.141 -751.367 -110.059 -1611.133 0.000 2020.313 -3006.934 -618.066 -2845.508 1898.047 0.000 -563.867 1892.969 -2855.176 1478.027 2954.199 -2930.469 2668.848 905.176 -644.336 -1425.879 1046.973 -1633.203 1025.586 0.000 0.000 -50.000
-1503.125 14.648 3062.402 -368.652 1314.941 1655.078 2682.129 2845.117 -170.996 -745.801 -106.836 -1614.258 0.000 2012.891 -3006.738 -615.430 -2843.262 1835.156 0.000 -566.504 1896.191 -2851.953 1472.949 2941.699 -2935.840 2666.992 898.730 -529.199 -1431.836 1019.531 -1640.430 1012.793 0.000 0.000 -50.000
-1505.078 13.086 3059.863 -374.121 1312.891 1654.688 2678.906 2841.797 -174.902 -747.949 -109.570 -1618.457 0.000 2006.152 -3007.910 -618.164 -2844.238 1782.422 0.000 -567.090 1894.727 -2851.465 1470.605 2972.070 -2937.012 2665.430 895.215 -453.320 -1434.668 1005.664 -1610.352 1000.977 0.000 0.000 -50.000
-1511.230 7.910 3055.664 -377.930 1307.910 1646.582 2673.340 2840.039 -178.516 -752.734 -117.090 -1621.973 0.000 2003.125 -3012.305 -624.414 -2848.828 1737.598 0.000 -572.461 1889.746 -2857.520 1467.188 3002.637 -2940.430 2663.379 892.969 -422.559 -1436.426 997.070 -1500.000 989.453 0.000 0.000 -50.000
-1516.504 0.195 3051.953 -377.734 1304.492 1638.379 2670.117 2839.160 -179.004 -760.059 -120.801 -1621.094 0.000 2008.203 -3013.379 -628.320 -2854.492 1697.656 0.000 -572.754 1883.594 -2862.988 1469.629 3002.637 -2940.430 2659.570 895.313 -408.105 -1431.738 997.461 -1418.066 987.402 0.000 0.000 -50.000
-1527.246 -11.328 3046.777 -380.273 1296.680 1624.805 2664.551 2838.477 -181.250 -769.043 -131.152 -1620.801 0.000 2010.840 -3016.992 -637.500 -2858.887 1689.453 0.000 -569.629 1877.539 -2869.141 1474.219 3003.906 -2940.918 2658.594 896.484 -316.992 -1428.027 1003.027 -1412.402 986.230 0.000 0.000 -50.000
-1539.648 -25.781 3035.938 -387.012 1285.840 1609.277 2657.129 2833.105 -187.891 -782.031 -142.480 -1625.879 0.000 2008.203 -3025.977 -649.707 -2862.207 1650.000 0.000 -568.750 1870.898 -2875.000 1475.488 3036.230 -2943.457 2653.320 898.535 -200.781 -1428.125 1009.375 -1365.723 987.305 0.000 0.000 -50.000
-1553.125 -38.770 3023.828 -397.754 1274.512 1593.945 2644.238 2822.949 -199.121 -796.387 -157.324 -1637.988 0.000 1999.121 -3036.816 -663.770 -2869.629 1657.910 0.000 -573.926 1862.402 -2883.496 1469.434 3113.965 -2950.488 2644.922 894.141 -124.805 -1433.398 1010.059 -1295.801 1001.367 0.000 0.000 -50.000
-1565.625 -50.488 3010.938 -411.328 1259.863 1582.910 2630.469 2809.570 -213.086 -810.059 -170.898 -1651.563 0.000 1982.910 -3049.023 -677.246 -2885.938 1644.238 0.000 -590.527 1847.266 -2896.680 1454.199 -3187.793 -2962.695 2631.641 882.129 86.328 -1448.340 1002.539 -1254.883 1001.172 0.000 0.000 -50.000
-1562.988 -47.949 3010.156 -414.648 1261.523 1585.547 2628.027 2804.102 -216.699 -806.836 -173.926 -1657.227 0.000 1974.219 -3052.832 -678.320 -2894.434 1632.422 0.000 -602.637 1842.090 -2903.223 1439.844 -3158.008 -2971.875 2621.973 869.531 180.566 -1461.328 991.113 -1235.547 997.461 0.000 0.000 -50.000
-1555.469 -38.672 3016.016 -413.770 1269.238 1598.340 2632.617 2804.297 -215.723 -798.828 -168.750 -1658.984 0.000 1967.383 -3049.609 -671.387 -2896.289 1617.969 0.000 -609.473 1843.457 -2900.488 1432.715 3198.340 -2978.711 2619.824 858.984 218.066 -1467.285 980.664 -1223.145 988.574 0.000 0.000 -50.000
-1560.840 -42.480 3008.008 -425.391 1264.063 1596.973 2624.219 2789.160 -228.613 -803.809 -178.320 -1673.926 0.000 1948.242 -3060.059 -678.613 -2904.004 1590.039 0.000 -623.828 1836.035 -2909.863 1416.113 -3176.074 -2993.750 2606.934 837.500 516.016 -1484.863 955.176 -1195.117 951.660 0.000 0.000 -50.000
-1620.117 -101.563 2946.777 -489.746 1200.781 1535.742 2561.621 2725.000 -293.750 -862.402 -241.016 -1738.672 0.000 1881.543 -3122.559 -740.918 -2963.477 1524.805 0.000 -688.672 1775.586 -2972.168 1350.195 3155.957 -3056.348 2542.969 769.531 2372.363 -1549.316 879.688 -1233.496 851.758 0.000 0.000 -50.000
