Fp1 - M1Ref	Fpz - M1Ref	Fp2 - M1Ref	F7 - M1Ref	F3 - M1Ref	Fz - M1Ref	F4 - M1Ref	F8 - M1Ref	FC5 - M1Ref	FC1 - M1Ref	FC2 - M1Ref	FC6 - M1Ref	M1 - M1Ref	T7 - M1Ref	C3 - M1Ref	Cz - M1Ref	C4 - M1Ref	T8 - M1Ref	M2 - M1Ref	CP5 - M1Ref	CP1 - M1Ref	CP2 - M1Ref	CP6 - M1Ref	P7 - M1Ref	P3 - M1Ref	Pz - M1Ref	P4 - M1Ref	P8 - M1Ref	POz - M1Ref	O1 - M1Ref	Oz - M1Ref	O2 - M1Ref	HEOG - M1Ref	VEOG - M1Ref	
-1.046648E+003	3.684621E+002	-2.773378E+003	-6.088083E+003	-1.089243E+004	2.090961E+003	9.378128E+003	-9.365329E+003	3.949988E+002	6.099835E+003	2.053611E+002	-1.196233E+003	0.000000E+000	-3.799503E+003	-2.509169E+003	-6.516147E+003	1.022238E+004	1.832950E+003	0.000000E+000	-6.098860E+003	2.530152E+003	4.133153E+003	8.125603E+003	-1.730499E+002	3.925622E+003	3.183990E+003	7.635877E+003	-6.667037E+003	-8.720171E+002	-5.519777E+003	2.017788E+003	1.372924E+003	0.000000E+000	0.000000E+000	
-1.047807E+003	3.674138E+002	-2.770031E+003	-6.081812E+003	-1.089227E+004	2.089270E+003	9.379948E+003	-9.359187E+003	3.999457E+002	6.099320E+003	2.033566E+002	-1.190182E+003	0.000000E+000	-3.791154E+003	-2.506061E+003	-6.514584E+003	1.022716E+004	1.841850E+003	0.000000E+000	-6.090750E+003	2.533590E+003	4.137658E+003	8.135332E+003	-1.878906E+002	3.932555E+003	3.188017E+003	7.643179E+003	-6.667147E+003	-8.626749E+002	-5.592951E+003	2.011940E+003	1.364170E+003	0.000000E+000	0.000000E+000	
-1.042989E+003	3.706321E+002	-2.766537E+003	-6.076056E+003	-1.088690E+004	2.093426E+003	9.386643E+003	-9.354423E+003	4.060144E+002	6.104965E+003	2.074208E+002	-1.185824E+003	0.000000E+000	-3.786685E+003	-2.500636E+003	-6.507633E+003	1.023253E+004	1.846613E+003	0.000000E+000	-6.083412E+003	2.538501E+003	4.144867E+003	8.140591E+003	-1.964788E+002	3.937446E+003	3.194472E+003	7.648438E+003	-6.679947E+003	-8.566614E+002	-5.666842E+003	1.972181E+003	1.366285E+003	0.000000E+000	0.000000E+000	
-1.033408E+003	3.807098E+002	-2.760155E+003	-6.072010E+003	-1.088055E+004	2.102198E+003	9.393612E+003	-9.352088E+003	4.100786E+002	6.112891E+003	2.124413E+002	-1.181098E+003	0.000000E+000	-3.784202E+003	-2.494236E+003	-6.500792E+003	1.023852E+004	1.849041E+003	0.000000E+000	-6.080930E+003	2.545397E+003	4.150145E+003	8.142210E+003	-2.013889E+002	3.940812E+003	3.198702E+003	7.651068E+003	-6.689418E+003	-8.551534E+002	-5.733064E+003	1.926150E+003	1.364759E+003	0.000000E+000	0.000000E+000	
-1.023238E+003	3.908059E+002	-2.753719E+003	-6.068847E+003	-1.087208E+004	2.113177E+003	9.401869E+003	-9.347895E+003	4.143083E+002	6.121479E+003	2.169652E+002	-1.180859E+003	0.000000E+000	-3.786041E+003	-2.489933E+003	-6.492424E+003	1.024071E+004	1.844370E+003	0.000000E+000	-6.081684E+003	2.550859E+003	4.153308E+003	8.139138E+003	-1.637078E+002	3.939966E+003	3.201129E+003	7.647813E+003	-6.727375E+003	-8.572683E+002	-5.803664E+003	1.916036E+003	1.356980E+003	0.000000E+000	0.000000E+000	
-1.016949E+003	3.984378E+002	-2.750666E+003	-6.069914E+003	-1.086702E+004	2.123089E+003	9.402550E+003	-9.348998E+003	4.124325E+002	6.129167E+003	2.210662E+002	-1.184040E+003	0.000000E+000	-3.795972E+003	-2.488001E+003	-6.488158E+003	1.023948E+004	1.834274E+003	0.000000E+000	-6.087734E+003	2.551042E+003	4.155699E+003	8.130569E+003	-5.757909E+001	3.932941E+003	3.197561E+003	7.637294E+003	-6.799298E+003	-8.651024E+002	-5.880239E+003	1.995021E+003	1.339270E+003	0.000000E+000	0.000000E+000	
-1.018015E+003	3.993021E+002	-2.753351E+003	-6.076645E+003	-1.086980E+004	2.125682E+003	9.397088E+003	-9.356943E+003	4.054627E+002	6.128284E+003	2.167078E+002	-1.192279E+003	0.000000E+000	-3.807429E+003	-2.493666E+003	-6.489133E+003	1.023288E+004	1.821934E+003	0.000000E+000	-6.097278E+003	2.547714E+003	4.152996E+003	8.118303E+003	9.667623E+001	3.921649E+003	3.189065E+003	7.624016E+003	-6.875709E+003	-8.770743E+002	-5.950931E+003	2.172484E+003	1.308154E+003	0.000000E+000	0.000000E+000	
-1.025482E+003	3.945207E+002	-2.760909E+003	-6.084553E+003	-1.087873E+004	2.118197E+003	9.389658E+003	-9.367094E+003	3.956609E+002	6.123594E+003	2.060232E+002	-1.201069E+003	0.000000E+000	-3.817378E+003	-2.502732E+003	-6.495642E+003	1.022475E+004	1.810698E+003	0.000000E+000	-6.107319E+003	2.539163E+003	4.145639E+003	8.108115E+003	2.395481E+002	3.914606E+003	3.181249E+003	7.613699E+003	-6.955356E+003	-8.863612E+002	-6.006137E+003	2.412860E+003	1.270841E+003	0.000000E+000	0.000000E+000	
-1.036166E+003	3.810960E+002	-2.771667E+003	-6.094244E+003	-1.088923E+004	2.105545E+003	9.378698E+003	-9.375020E+003	3.878267E+002	6.111254E+003	1.918997E+002	-1.209933E+003	0.000000E+000	-3.824127E+003	-2.510934E+003	-6.508111E+003	1.021583E+004	1.802514E+003	0.000000E+000	-6.114712E+003	2.529692E+003	4.134146E+003	8.100483E+003	3.463205E+002	3.904896E+003	3.172808E+003	7.608936E+003	-7.031067E+003	-8.917311E+002	-6.045511E+003	2.691413E+003	1.239247E+003	0.000000E+000	0.000000E+000	
-1.051834E+003	3.640485E+002	-2.784393E+003	-6.102869E+003	-1.090260E+004	2.088847E+003	9.367517E+003	-9.383222E+003	3.792202E+002	6.095660E+003	1.763601E+002	-1.218098E+003	0.000000E+000	-3.830177E+003	-2.521306E+003	-6.522694E+003	1.020621E+004	1.796979E+003	0.000000E+000	-6.119493E+003	2.517885E+003	4.122155E+003	8.098166E+003	4.273101E+002	3.897944E+003	3.163429E+003	7.604026E+003	-7.100508E+003	-8.969723E+002	-6.073849E+003	2.992476E+003	1.210136E+003	0.000000E+000	0.000000E+000	
