Fp1 Fpz Fp2 F7 F3 Fz F4 F8 FC5 FC1 FC2 FC6 M1 T7 C3 Cz C4 T8 M2 CP5 CP1 CP2 CP6 P7 P3 Pz P4 P8 POz O1 Oz O2 HEOG VEOG
-1525.910 -11.126 -3356.911 -6774.472 -11510.614 1625.364 9079.419 -9955.923 -173.050 5627.175 -115.508 -1606.532 0.000 -4357.474 -3010.406 -7022.369 9956.898 1852.112 0.000 -6953.351 1893.214 3551.955 7897.678 2775.364 3481.852 2677.253 7328.801 -447.263 -1408.693 -5259.559 4634.629 1107.519 0.000 0.000
-1530.122 -15.319 -3362.133 -6780.301 -11514.494 1620.931 9073.369 -9960.797 -176.047 5622.394 -120.694 -1611.442 0.000 -4363.542 -3015.721 -7026.396 9953.478 1834.053 0.000 -6958.647 1889.407 3549.178 7893.430 2857.052 3476.795 2671.681 7321.464 -409.122 -1415.000 -5264.322 4647.466 1113.754 0.000 0.000
-1528.669 -13.829 -3363.035 -6782.600 -11512.913 1623.727 9072.247 -9965.780 -181.804 5622.577 -122.496 -1616.812 0.000 -4371.303 -3018.296 -7026.764 9952.466 1814.155 0.000 -6962.565 1889.021 3549.767 7887.986 2920.167 3472.216 2667.819 7315.229 -391.597 -1421.529 -5273.461 4655.686 1110.682 0.000 0.000
-1521.938 -7.172 -3360.055 -6784.090 -11508.003 1634.117 9074.086 -9965.523 -181.546 5629.142 -117.236 -1619.387 0.000 -4378.714 -3017.597 -7022.498 9951.730 1792.308 0.000 -6967.328 1891.835 3552.911 7881.917 2971.548 3468.207 2666.348 7307.340 -411.936 -1428.848 -5289.130 4659.511 1100.053 0.000 0.000
-1508.771 6.271 -3349.444 -6776.550 -11497.042 1650.539 9081.810 -9961.109 -177.666 5644.148 -106.037 -1615.580 0.000 -4380.866 -3011.399 -7011.169 9956.917 1775.922 0.000 -6970.086 1897.333 3558.428 7877.154 2969.930 3466.993 2670.155 7302.541 -475.768 -1430.816 -5311.915 4649.930 1076.440 0.000 0.000
-1497.865 19.181 -3338.300 -6769.506 -11486.945 1663.725 9091.078 -9955.427 -170.622 5656.102 -95.187 -1610.357 0.000 -4377.556 -3003.823 -7000.742 9961.274 1768.916 0.000 -6970.288 1901.471 3562.419 7876.842 2934.309 3468.961 2674.108 7301.768 -536.179 -1431.000 -5330.434 4640.165 1053.931 0.000 0.000
-1495.383 21.829 -3336.866 -6767.355 -11485.770 1664.994 9091.060 -9952.043 -167.827 5658.382 -93.017 -1607.838 0.000 -4375.717 -3001.745 -6999.565 9963.997 1769.431 0.000 -6967.383 1904.303 3566.594 7879.950 2898.411 3469.586 2675.065 7303.074 -513.706 -1431.441 -5338.691 4629.922 1038.042 0.000 0.000
-1500.440 17.507 -3339.275 -6768.679 -11487.885 1659.422 9088.742 -9951.768 -168.581 5653.307 -97.320 -1608.150 0.000 -4372.480 -3002.774 -7002.508 9966.369 1784.842 0.000 -6960.045 1908.606 3570.437 7889.513 2889.566 3476.152 2678.136 7311.588 -541.346 -1423.147 -5330.378 4632.864 1028.185 0.000 0.000
-1509.709 9.471 -3342.180 -6769.157 -11492.647 1648.112 9085.028 -9950.462 -167.901 5647.845 -104.216 -1606.550 0.000 -4366.117 -3004.282 -7009.367 9969.054 1804.647 0.000 -6953.701 1907.319 3569.701 7896.538 2911.836 3482.331 2681.869 7320.728 -606.760 -1413.639 -5312.430 4644.799 1030.355 0.000 0.000
-1517.469 -1.784 -3346.171 -6769.138 -11498.459 1637.813 9082.527 -9949.561 -167.790 5638.025 -110.009 -1605.778 0.000 -4358.541 -3006.269 -7016.098 9961.386 1833.777 0.000 -6952.027 1900.202 3561.463 7899.204 2916.691 3482.937 2679.258 7326.227 -635.356 -1408.858 -5292.054 4668.743 1047.163 0.000 0.000
