trial,trigger,latency,scene_category,old,behavior,subsequent_memory
1119,2119,2381480.5,natural,old,hit,na
1120,2041,2382719.5,natural,new,correctreject,subsequent_remembered
1121,1119,2384583,manmade,old,hit,na
1122,1049,2386549,manmade,new,correctreject,na
1123,1041,2388516.5,manmade,new,correctreject,subsequent_remembered
1124,2121,2390317,natural,old,miss,subsequent_remembered
1125,2119,2391740,natural,old,hit,na
1126,1039,2393706,manmade,new,falsealarm,na
1127,1041,2394993,manmade,new,correctreject,subsequent_remembered
1128,1129,2396511.5,manmade,old,miss,na
1129,1049,2397745.5,manmade,new,correctreject,na
1130,2111,2399194,natural,old,hit,subsequent_remembered
1131,1119,2401052.5,manmade,old,hit,na
1132,2041,2402895.5,natural,new,correctreject,subsequent_remembered
1133,2111,2404376.5,natural,old,hit,subsequent_remembered
1134,1049,2406105.5,manmade,new,correctreject,na
1135,1041,2407638.5,manmade,new,correctreject,subsequent_remembered
1136,2111,2409960.5,natural,old,hit,subsequent_remembered
1137,2049,2411865,natural,new,correctreject,na
1138,2041,2413349.5,natural,new,correctreject,subsequent_remembered
1139,1049,2415054.5,manmade,new,correctreject,na
1140,2041,2417020.5,natural,new,correctreject,subsequent_remembered
1141,2049,2418740.5,natural,new,correctreject,na
1142,2119,2420706.5,natural,old,hit,na
1143,2119,2422715.5,natural,old,hit,na
1144,2031,2424346.5,natural,new,falsealarm,subsequent_remembered
1145,1049,2426023,manmade,new,correctreject,na
1146,2119,2427372,natural,old,hit,na
1147,2111,2428892.5,natural,old,hit,subsequent_remembered
1148,1041,2430536,manmade,new,correctreject,subsequent_remembered
1149,2049,2432642.5,natural,new,correctreject,na
1150,2031,2434493,natural,new,falsealarm,subsequent_remembered
1151,1119,2436989,manmade,old,hit,na
1152,1119,2439141.5,manmade,old,hit,na
1153,2119,2440882.5,natural,old,hit,na
1154,2119,2442996.5,natural,old,hit,na
1155,2049,2444698,natural,new,correctreject,na
1156,2111,2446104,natural,old,hit,subsequent_remembered
1157,1041,2448060,manmade,new,correctreject,subsequent_remembered
1158,1119,2449708.5,manmade,old,hit,na
1159,1121,2451379.5,manmade,old,miss,subsequent_remembered
1160,2119,2453184.5,natural,old,hit,na
1161,1119,2455186,manmade,old,hit,na
1162,2111,2457346.5,natural,old,hit,subsequent_remembered
1163,2119,2458754.5,natural,old,hit,na
1164,2119,2460305.5,natural,old,hit,na
1165,1119,2462390.5,manmade,old,hit,na
1166,2039,2463899.5,natural,new,falsealarm,na
1167,1049,2465323,manmade,new,correctreject,na
1168,1049,2467954.5,manmade,new,correctreject,na
1169,2119,2469410.5,natural,old,hit,na
